source,target,Weight,source type,target type,source color,target color
Promedia Public Relations,Naomi Sanders,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Sheree Breust,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Promedia Public Relations,Tanya Waite,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Pynfall Pty Ltd,Hannelore Duczek,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
RSA Liquor Professionals t/a; Russell Steele & Assoc Pty Ltd,Russell Steele,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Red Tape Busters Pty Ltd,Shane Bowering,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Res Publica Pty Ltd,Gabriel McDowell,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Res Publica Pty Ltd,Nicola McAlpine,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Richardson Coutts Pty Ltd,Shannan Manton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Rowland Pty Ltd,Alasdair Jeffrey,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Rowland Pty Ltd,Geoff Rodgers,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Rowland Pty Ltd,Reginald Mickel,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Rowland Pty Ltd,Samuel Walker,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Rowland Pty Ltd,Tristan Bick,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Royce Comm,Peter Mahon,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Royce Comm,Richard Amos,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Royce Comm,Simon Westaway,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
S A Milgate & Associates Pty Ltd,Stephen Milgate,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,Bernard Ripoll,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,James Baker,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,Johnathon Baque,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,Lisa Palu,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,Peter Costantini,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,Shayne Sutton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SAS Group,Winston Harris,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SEC Newgate,Alistair Coleman,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SEC Newgate,Finn McCarthy,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SEC Newgate,Jamin Smith,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
SEC Newgate,Tanya Creighton,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Santoro Consulting,Santo Santoro,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Sling and Stone,Hayley Schubert,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Sling and Stone,James Hutchinson,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Sling and Stone,Vuki Vujasinovic,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Social Impact (Qld),Troy Collings,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
Spring Street Advisory,Ken McAlpine,1,Lobbying Firm,Lobbyist,#9d94ff,#c780e8
