Client Name,Lobbyist,ABN
LP Investments PTY LTD ATF The Rains Family Trust NO2 & WMO Exchange PTY LTD ATF The WMO Exchange Trust ,Commercial Licensing Specialists,33 134 318 595
LP & MJ Pty Ltd T/A Billys Backyard BBQ,Jacaranda Advisory,41 673 550 487
Logos Australia Group Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Montezuma's Mt Gravatt Pty Ltd,Precise Hospitality Licensing,46220117164
LMS Energy,TG Public Affairs,23630677673
Luiz Henrique Oliveira,Precise Hospitality Licensing,46220117164
Livius Pty Ltd,Christmas Jalili,26614088881
Livingbridge EP LLP,GRACosway Pty Ltd,50 082 123 822
LITTLE BLUE DINOSAUR FOUNDATION LIMITED,Walsh Stevens,18084661441
Mars Petcare Australia,FPL Advisory,34123819385
Lynk,Hawker Britton,79 109 681 405
Masdar Tribe Australia Pty Ltd,PYNE AND PARTNERS,81 634 747 363
Lion Australia,Next Level Strategic Services,27 613 857 668
Link Group,Next Level Strategic Services,27 613 857 668
Linfox,Next Level Strategic Services,27 613 857 668
Lime Bikes,Govstrat Pty Ltd,64 964 952 044
Lilywhite Hotel Group,DWS Hospitality Specialists,50 113 985 247
Lifeline Australia Ltd,Woodhill Communication Pty Ltd,62 613 694 189
MABLE TECHNOLOGIES PTY LTD,GRACosway Pty Ltd,50 082 123 822
"Lion - Beer, Spirits & Wine Pty Ltd",Anacta Strategies Pty Ltd,64 633 978 677
Lendlease Pty Ltd,TG Public Affairs,23630677673
Lendlease Group Services Pty Limited,Hawker Britton,79 109 681 405
Lend Lease,Next Level Strategic Services,27 613 857 668
Leda Holdings Pty Ltd,Staerk Government and Media,32 844 592 574
Ludlow Hospitality Qld Pty Ltd atf The Ludlow Family Trust,Commercial Licensing Specialists,33 134 318 595
LC Distributors,PolicyWonks,50 463 070 316
LEVIN HEALTH LIMITED,Walsh Stevens,18084661441
Law In Order,Richardson Coutts Pty Ltd,20 126 507 211
Large Format Retail Association Limited,Primary Communication,36617864347
Langham Hotels International,Staerk Government and Media,32 844 592 574
La Trobe University,TG Public Affairs,23630677673
KYNDRYL AUSTRALIA PTY LTD,Bossy Group,24166898488
LMS ENERGY PTY LTD,Walsh Stevens,18084661441
KTQ Developments,SAS Group,33 136 520 548
KPAT Mooloolaba Pty Ltd,Project Urban Pty Ltd,97 608 895 923
Komune Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Kokonui Group,Australian Strategic Advisory,51623355377
Lion Pty Ltd,PremierNational,71 619 450 841
Kmart Australia Limited,GRACosway Pty Ltd,50 082 123 822
Kivahan Investments Pty Ltd,Precise Hospitality Licensing,46220117164
Kingspan Water & Energy Pty Limited,Woodhill Communication Pty Ltd,62 613 694 189
KIMBERLY-CLARK AUSTRALIA PTY LTD,GRACosway Pty Ltd,50 082 123 822
Kevin Rayner T/A Earth Espresso Bar,Jacaranda Advisory,41 673 550 487
Knauf Insulation,Hawker Britton,79 109 681 405
Keppel Prince Engineering,Spring Street Advisory,92 603 411 650
LiveNation,Anacta Strategies Pty Ltd,64 633 978 677
Keppel Bay Sailing Club Inc,DWS Hospitality Specialists,50 113 985 247
Kent Institute Australia Pty Ltd,Santoro Consulting,21 131 482 230
Laing O'Rourke Australia Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Kawal Avi Pty Ltd,Precise Hospitality Licensing,46220117164
Kaufland,Spring Street Advisory,92 603 411 650
Lion ,Res Publica Pty Ltd,63 103 178 258
Katie Rose Cottage Hospice Ltd,Strategic Pathways Consulting,ABN 56242935104
Karmo Pty Ltd,Govstrat Pty Ltd,64 964 952 044
Kentucky Fried Chicken Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Kalex Group Pty Ltd ,Commercial Licensing Specialists,33 134 318 595
K&L Gates,TG Public Affairs,23630677673
Junior Adventures Group Pty Ltd,GRACosway Pty Ltd,50 082 123 822
Judo Bank,PolicyWonks,50 463 070 316
JT Academy,PolicyWonks,50 463 070 316
life sciences Queensland limited,BB Win Win Outcomes,91 671 079 056
Johnson & Johnson Medical Pty Ltd,Ogilvy PR Agency Pty Limited,89 096 965 794
John Laing,Spring Street Advisory,92 603 411 650
JIGSAW GROUP (AUS) LIMITED,Walsh Stevens,18084661441
Kawana Waters farmers Market Pty Ltd trading as Kawana Farmers Market,Strategic Pathways Consulting,ABN 56242935104
JELE CHEMISTS PTY LTD,BB Win Win Outcomes,91 671 079 056
JCK Corporation Pty Ltd,Commercial Licensing Specialists,33 134 318 595
JAR Aerospace,Strategic Political Counsel,24613884763
Janjade Pty Ltd ATF Jabja Trust,Jacaranda Advisory,41 673 550 487
Leasr,DPG Advisory Solutions Pty Ltd,14 634 403 115
James Donald Permezel and Michael Charles Grimshaw,Liquor Licensing Consultants,58 679 042 968
Ixom Operations Pty Ltd,SAS Group,33 136 520 548
Kedron Wavell Service Club,DWS Hospitality Specialists,50 113 985 247
ISS Facilities Services Australia Limited ,GRACosway Pty Ltd,50 082 123 822
Israel Aerospace Industries Ltd,CMAX Advisory,73 130 740 546
Janssen Australia and New Zealand,Ogilvy PR Agency Pty Limited,89 096 965 794
Isis Central Sugar Milling Company,PolicyWonks,50 463 070 316
IRESS LIMITED,Ogilvy PR Agency Pty Limited,89 096 965 794
Jacqualine B's Cafe Pty Ltd,Precise Hospitality Licensing,46220117164
Ipswich Jets Rugby League Football Club,DWS Hospitality Specialists,50 113 985 247
Ipswich City Council,Hawker Britton,79 109 681 405
Ipsen Pty Ltd,Ogilvy PR Agency Pty Limited,89 096 965 794
Iplex Pipelines Australia Pty Limited,GRACosway Pty Ltd,50 082 123 822
IOOF Holdings Limited,TG Public Affairs,23630677673
KUMANO ATF K.KUMANO TRUST,Precise Hospitality Licensing,46220117164
investLogan,BBS Communications Group Pty Ltd,34 010 899 779
IntoWork,BB Win Win Outcomes,91 671 079 056
ITV,Next Level Strategic Services,27 613 857 668
International Power (Australia) Pty Ltd,TG Public Affairs,23630677673
Justin Lane Pty Ltd,Commercial Licensing Specialists,33 134 318 595
Intergen (Australia),The Write Connection,55 073 965 616
Integrous Consulting Pty Ltd,Jutsum Advisory Pty Ltd,68 973 583 422
Isaac Regional Council,Jacaranda Advisory,41 673 550 487
integratedliving Australia Ltd (ABN 95130 530 844),Australian Public Affairs,20 098 705 403
Institute of Urban Indigenous Health,Anacta Strategies Pty Ltd,64 633 978 677
Ingham Property,Iemma Patterson Premier Advisory,53 830 148 273
Ingenia Communities Holdings Ltd,BBS Communications Group Pty Ltd,34 010 899 779
